season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,damage,damage/min,kill_participation,kill_share,gold_share
10,Main,Unicorns_of_Love_2e-CIS,AHaHaCiK,6,0,6,0,2.17,5.33,3.83,1.13,174.5,5.43,10.3,320,12400,386,64.3,23.2,20.2
10,Main,Unicorns_of_Love_2e-CIS,BOSS,6,0,6,0,2.5,4.67,2.83,1.14,218,6.78,10.6,330,12600,393,57.1,26.8,20.8
10,Main,Unicorns_of_Love_2e-CIS,Gadget,6,0,6,0,2,3.5,2.83,1.38,239.33,7.45,11,342,19100,593,51.8,21.4,21.6
10,Main,Unicorns_of_Love_2e-CIS,Nomanz,6,0,6,0,2.33,4.83,2.5,1,278.83,8.68,12.3,384,16900,524,51.8,25,24.2
10,Main,Unicorns_of_Love_2e-CIS,SaNTaS,6,0,6,0,0.33,4.67,4.83,1.11,38.83,1.21,6.7,208,3300,102,55.4,3.6,13.1
11,Play in,Beyond_Gaming,Doggo,13,5,8,38.5,5.92,2,5,5.46,320.46,9.97,15.2,471,21200,660,71.7,38.9,26.5
11,Play in,Beyond_Gaming,Husha,13,5,8,38.5,3.31,3.31,6.31,2.91,173.15,5.38,10.9,340,11800,368,63.1,21.7,19.1
11,Play in,Beyond_Gaming,Kino,13,5,8,38.5,0.85,3.92,8.54,2.39,34.31,1.07,7.5,235,4400,135,61.6,5.6,13.2
11,Play in,Beyond_Gaming,Liang,12,5,7,41.7,2.83,3.08,5,2.54,225.5,7.05,11.7,367,13300,416,49.7,18,20.4
11,Play in,Beyond_Gaming,Maoan,10,5,5,50,2.9,3.8,6.8,2.55,272.3,7.99,13.1,384,12700,372,54.5,16.3,21.1
11,Play in,Beyond_Gaming,PK,4,0,4,0,1,5,3,0.8,185.75,6.66,8.6,308,9900,354,55.2,13.8,19.4
11,Play in,Cloud9,Blaber,8,6,2,75,4.75,2.38,8.13,5.42,193,6.66,11.3,391,12900,446,67.8,25,19.9
11,Play in,Cloud9,Fudge,8,6,2,75,3.88,1.88,7.75,6.2,230.38,7.95,12.2,421,13700,472,61.2,20.4,21.4
11,Play in,Cloud9,Perkz,8,6,2,75,4.5,1.88,6.13,5.67,263.38,9.09,12.8,441,14800,510,55.9,23.7,22.4
11,Play in,Cloud9,Vulcan,8,6,2,75,1.25,3,12.25,4.5,26.75,0.92,7.4,255,5100,174,71.1,6.6,12.9
11,Play in,Cloud9,Zven,8,6,2,75,4.63,2,5.88,5.25,280,9.66,13.3,461,15200,526,55.3,24.3,23.4
11,Play in,DetonatioN_FocusMe,Aria,5,4,1,80,2.6,0.8,4.6,9,275.2,8.56,13.1,407,13500,419,43.9,15.9,22
11,Play in,DetonatioN_FocusMe,Evi,5,4,1,80,3.8,2.2,6.2,4.55,224.6,6.99,12.1,377,10900,339,61,23.2,20.3
